varname 16S V4,demographics,diet,permanova,confounder
Acetyl.l.carnatine,FALSE,FALSE,FALSE,FALSE
Acetyl.L.carnitine,FALSE,FALSE,FALSE,FALSE
Acyclovir,FALSE,FALSE,FALSE,FALSE
Additional.info.affecting.microbiome..M3.,FALSE,FALSE,FALSE,FALSE
ADHD.inattentive.subtype,FALSE,FALSE,FALSE,FALSE
Adora.calcium.supplement,FALSE,TRUE,FALSE,FALSE
Age..months.,TRUE,FALSE,Continuous,Continuous
Age..years.,TRUE,FALSE,Continuous,Continuous
Albizia.supplement,FALSE,TRUE,FALSE,FALSE
Albuterol,FALSE,FALSE,FALSE,FALSE
Aloe.vera.supplement,FALSE,TRUE,FALSE,FALSE
Alpha.lipoic.acid.supplement,FALSE,TRUE,FALSE,FALSE
Amino.acid.formula,FALSE,FALSE,FALSE,FALSE
Amoxicillin,FALSE,FALSE,FALSE,FALSE
Amoxicillin.Clavulanate,FALSE,FALSE,FALSE,FALSE
Annual.household.income,FALSE,FALSE,Categorical,Categorical
Anti.infective,FALSE,FALSE,Categorical,Categorical
Anxiety.disorder,FALSE,FALSE,FALSE,FALSE
Aphasia,FALSE,FALSE,FALSE,FALSE
Apraxia,FALSE,FALSE,FALSE,FALSE
Ascorbic.acid,FALSE,TRUE,FALSE,FALSE
Ashwaghanda,FALSE,FALSE,FALSE,FALSE
Asthma,FALSE,FALSE,FALSE,FALSE
Attention.deficit.hyperactivity.disorder,FALSE,FALSE,FALSE,FALSE
Augmentin,FALSE,FALSE,FALSE,FALSE
Autism.spectrum.disorder,FALSE,FALSE,FALSE,FALSE
Avoidant.restrictive.food.intake.disorder,FALSE,TRUE,FALSE,FALSE
Azithromycin,FALSE,FALSE,FALSE,FALSE
Banaril,FALSE,FALSE,FALSE,FALSE
Behavior.video.submitted..M3.,FALSE,FALSE,FALSE,FALSE
Benign.epilepsy.with.centrotemporal.spikes,FALSE,FALSE,FALSE,FALSE
Biocidin,FALSE,TRUE,FALSE,FALSE
Biological.sex,TRUE,FALSE,Categorical,Categorical
Bioray.Liver.Life.supplement,FALSE,TRUE,FALSE,FALSE
Bioray.Loving.Energy.supplement,FALSE,TRUE,FALSE,FALSE
Bioray.NDF.Plus.supplement,FALSE,TRUE,FALSE,FALSE
Biospecimen.Barcode,FALSE,FALSE,FALSE,FALSE
Biospecimen.Date.Collected,FALSE,FALSE,FALSE,FALSE
Biospecimen.Description,FALSE,FALSE,FALSE,FALSE
Biospecimen.ID,FALSE,FALSE,FALSE,FALSE
Biospecimen.mass,FALSE,FALSE,FALSE,FALSE
Biospecimen.mass.unit,FALSE,FALSE,FALSE,FALSE
Biospecimen.Name,FALSE,FALSE,FALSE,FALSE
Biospecimen.type,FALSE,FALSE,FALSE,FALSE
Biotin,FALSE,TRUE,FALSE,FALSE
Born.by.caesarian.section,FALSE,FALSE,Categorical,Categorical
Born.prematurely,FALSE,FALSE,Categorical,Categorical
Bread..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Broccoli.extract.supplement,FALSE,TRUE,FALSE,FALSE
Brown.s.syndrome,FALSE,FALSE,FALSE,FALSE
Budesonide,FALSE,FALSE,FALSE,FALSE
Calcium.supplement,FALSE,TRUE,FALSE,FALSE
Calm.and.Cool.supplement,FALSE,TRUE,FALSE,FALSE
Cannabidiol.oil,FALSE,FALSE,FALSE,FALSE
Cefdinir,FALSE,FALSE,FALSE,FALSE
Celiac.disease,FALSE,FALSE,FALSE,FALSE
Cetirizine,FALSE,FALSE,FALSE,FALSE
Childhood.apraxia.of.speech,FALSE,FALSE,FALSE,FALSE
Childhood.behavioral.development.finding,FALSE,FALSE,Categorical,FALSE
Cholesterol.supplement,FALSE,TRUE,FALSE,FALSE
Chronic.otitis.media,FALSE,FALSE,FALSE,FALSE
Ciprofloxacin,FALSE,FALSE,FALSE,FALSE
Citicoline.supplement,FALSE,TRUE,FALSE,FALSE
Clarinex,FALSE,FALSE,FALSE,FALSE
Claritin,FALSE,FALSE,FALSE,FALSE
Clonidine,FALSE,FALSE,FALSE,FALSE
Cod.liver.oil,FALSE,TRUE,FALSE,FALSE
Coenzyme.Q10.supplement,FALSE,TRUE,FALSE,FALSE
Cold..virus..symptoms,FALSE,FALSE,FALSE,FALSE
Common.cold,FALSE,FALSE,FALSE,FALSE
Communication.disorder,FALSE,FALSE,FALSE,FALSE
Congenital.cataract,FALSE,FALSE,FALSE,FALSE
Congestion..symptom.,FALSE,FALSE,FALSE,FALSE
Conjunctivitis,FALSE,FALSE,FALSE,FALSE
Constipation,FALSE,FALSE,Categorical,Categorical
Conversation.ability,FALSE,FALSE,Categorical,FALSE
Cordyceps.supplement,FALSE,TRUE,FALSE,FALSE
Cough,FALSE,FALSE,FALSE,FALSE
Country,TRUE,FALSE,FALSE,FALSE
Cowden.protocol.supplements,FALSE,TRUE,FALSE,FALSE
Creatine.supplement,FALSE,TRUE,FALSE,FALSE
Cromolyn,FALSE,FALSE,FALSE,FALSE
Croup,FALSE,FALSE,FALSE,FALSE
Cyproheptadine,FALSE,FALSE,FALSE,FALSE
CytoFlora.probiotic.lysate,FALSE,TRUE,FALSE,FALSE
Dairy..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Dairy..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Dermatitis,FALSE,FALSE,FALSE,FALSE
Developmental.delay,FALSE,FALSE,FALSE,FALSE
Diarrhea,FALSE,FALSE,Categorical,Categorical
Diet.during.infancy,FALSE,FALSE,Categorical,Categorical
Dietary.fat.and.oil..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Dietary.fiber.supplement,FALSE,TRUE,FALSE,FALSE
Dietary.regime,FALSE,TRUE,Categorical,Categorical
Dietary.restrictions..M3.,FALSE,FALSE,Categorical,Categorical
Dietary.restrictions.details..M3.,FALSE,FALSE,FALSE,FALSE
Dietary.supplement,FALSE,TRUE,Categorical,Categorical
Digestive.enzyme,FALSE,FALSE,FALSE,FALSE
Digestive.enzymes,FALSE,FALSE,FALSE,FALSE
Dimethylglycine.supplement,FALSE,TRUE,FALSE,FALSE
Disease.focus,FALSE,FALSE,FALSE,FALSE
Docosahexaenoic.acid.supplement,FALSE,TRUE,FALSE,FALSE
EDTA.supplement,FALSE,TRUE,FALSE,FALSE
Encopresis,FALSE,FALSE,FALSE,FALSE
Environmental.tobacco.smoke.exposure,FALSE,FALSE,Categorical,Categorical
Epilepsy,FALSE,FALSE,FALSE,FALSE
Explain.how.you.collected.stool.sample..M3.,FALSE,FALSE,FALSE,FALSE
Expressive.language.disorder,FALSE,FALSE,FALSE,FALSE
Eye.contact.finding,FALSE,FALSE,Categorical,FALSE
Family.group.ID,FALSE,FALSE,Categorical,Categorical
Famotidine,FALSE,FALSE,FALSE,FALSE
Fatigue,FALSE,FALSE,FALSE,FALSE
Fermented.vegetable..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Fever,FALSE,FALSE,Categorical,Categorical
Fish.oil,FALSE,TRUE,FALSE,FALSE
Flaxseed.oil,FALSE,TRUE,FALSE,FALSE
Flonase,FALSE,FALSE,FALSE,FALSE
Flovent,FALSE,FALSE,FALSE,FALSE
Flu.like.symptoms,FALSE,FALSE,Categorical,Categorical
Flu.shot.in.the.last..M3.,FALSE,FALSE,Categorical,Categorical
Flu.shot.in.the.last..MFlu.shot.in.the.last..M3.,FALSE,FALSE,Categorical,Categorical
Fluconazole,FALSE,FALSE,FALSE,FALSE
Fluoride.supplement,FALSE,TRUE,FALSE,FALSE
Focalin,FALSE,FALSE,FALSE,FALSE
Food.protein.induced.enterocolitis.syndrome,FALSE,FALSE,FALSE,FALSE
Foreign.travel.within.past.months,FALSE,FALSE,Continuous,Continuous
Frankincense.supplement,FALSE,TRUE,FALSE,FALSE
Frequency.of.interaction.with.pet.s.,FALSE,FALSE,Categorical,Categorical
Fruit..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Fruit..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Functional.bowel.finding,FALSE,FALSE,Categorical,Categorical
Fungus.based.supplement,FALSE,TRUE,FALSE,FALSE
Gamma.aminobutyric.acid,FALSE,FALSE,FALSE,FALSE
Gastrointestinal.problems..M3.,FALSE,FALSE,Categorical,FALSE
Gestational.age,FALSE,FALSE,Continuous,Continuous
GI.issues.one.month.ago..M3.,FALSE,FALSE,Categorical,Categorical
GI.issues.this.week..M3.,FALSE,FALSE,Categorical,Categorical
GI.issues.three.months.ago..M3.,FALSE,FALSE,Categorical,Categorical
GI.issues.two.months.ago..M3.,FALSE,FALSE,Categorical,Categorical
GI.issues.two.weeks.ago..M3.,FALSE,FALSE,Categorical,Categorical
GI.symptoms.within.3.months..M3.,FALSE,FALSE,Categorical,Categorical
Glanzmann.s.thrombasthenia,FALSE,FALSE,FALSE,FALSE
Global.developmental.delay,FALSE,FALSE,FALSE,FALSE
Glutathione.supplement,FALSE,TRUE,FALSE,FALSE
Gluten.allergy,FALSE,FALSE,Categorical,Categorical
Guanfacine,FALSE,FALSE,FALSE,FALSE
Herbinity.Cleanse,FALSE,FALSE,FALSE,FALSE
Host.disease.status,FALSE,FALSE,Categorical,0
Host.ID,FALSE,FALSE,FALSE,FALSE
Host.interaction.with.pets,FALSE,FALSE,Categorical,Categorical
Host.Name,FALSE,FALSE,FALSE,FALSE
Hydrochloric.acid.supplement,FALSE,TRUE,FALSE,FALSE
Hydrocortisone,FALSE,FALSE,FALSE,FALSE
Hydroxyzine,FALSE,FALSE,FALSE,FALSE
Hypotonia,FALSE,FALSE,FALSE,FALSE
Ibuprofen,FALSE,FALSE,FALSE,FALSE
Imitation.behavior,FALSE,FALSE,Categorical,FALSE
Immune.system.disease,FALSE,FALSE,FALSE,FALSE
Indoors.pet,FALSE,FALSE,Categorical,Categorical
Indoors.pets,FALSE,FALSE,Categorical,Categorical
Inositol.supplement,FALSE,TRUE,FALSE,FALSE
IntestiBal..Genestra.,FALSE,FALSE,FALSE,FALSE
Inulin.fiber.supplement,FALSE,TRUE,FALSE,FALSE
Iron.supplement,FALSE,TRUE,FALSE,FALSE
Juice.plus,FALSE,TRUE,FALSE,FALSE
Keppra,FALSE,FALSE,FALSE,FALSE
L.carnosine,FALSE,FALSE,FALSE,FALSE
L.cystine.supplement,FALSE,TRUE,FALSE,FALSE
Lactose.intolerance,FALSE,FALSE,Categorical,Categorical
Landau.Kleffner.syndrome,FALSE,FALSE,FALSE,FALSE
Langauge.delay,FALSE,FALSE,FALSE,FALSE
Language.ability.and.use,FALSE,FALSE,Categorical,FALSE
Language.disorder,FALSE,FALSE,FALSE,FALSE
Length.of.recent.foreign.travel,FALSE,FALSE,Continuous,Continuous
Leucovorin,FALSE,FALSE,FALSE,FALSE
Levocarnitine,FALSE,TRUE,FALSE,FALSE
Lipase.supplement,FALSE,TRUE,FALSE,FALSE
Lithium.supplement,FALSE,TRUE,FALSE,FALSE
LR10.prediction..M3.,FALSE,FALSE,Categorical,Categorical
LR10.probability.ASD..M3.,FALSE,FALSE,Continuous,Continuous
LR10.probability.not.ASD..M3.,FALSE,FALSE,Continuous,Continuous
LR5.prediction..M3.,FALSE,FALSE,Categorical,Categorical
LR5.probability.ASD..M3.,FALSE,FALSE,Continuous,Continuous
LR5.probability.not.ASD..M3.,FALSE,FALSE,Continuous,Continuous
LR6.prediction..M3.,FALSE,FALSE,Categorical,Categorical
LR6.probability.ASD..M3.,FALSE,FALSE,Continuous,Continuous
LR6.probability.not.ASD..M3.,FALSE,FALSE,Continuous,Continuous
Magnesium.citrate.malate.supplement,FALSE,TRUE,FALSE,FALSE
Magnesium.hydroxide,FALSE,FALSE,FALSE,FALSE
Magnesium.supplement,FALSE,TRUE,FALSE,FALSE
Meals.prepared.at.home..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Meat..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Meats.and.seafood..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Melatonin,FALSE,FALSE,FALSE,FALSE
Memantine,FALSE,FALSE,FALSE,FALSE
Methyl.B12.injection,FALSE,FALSE,FALSE,FALSE
Methyl.vitamin.B12.injection,FALSE,FALSE,FALSE,FALSE
Methylsulfonylmethane.supplement,FALSE,TRUE,FALSE,FALSE
Milk.of.magnesia,FALSE,FALSE,FALSE,FALSE
Milk.thistle.supplement,FALSE,TRUE,FALSE,FALSE
Mineral.supplement,FALSE,TRUE,FALSE,FALSE
Minimum.time.since.antibiotics,FALSE,FALSE,Continuous,Continuous
Miralax,FALSE,FALSE,FALSE,FALSE
Miscellaneous.dietary.regime,FALSE,TRUE,FALSE,FALSE
Mixed.receptive.expressive.language.disorder,FALSE,FALSE,FALSE,FALSE
Mobile.Autism.Risk.Assessment.Score,FALSE,FALSE,Continuous,Continuous
Most.recent.GI.episode.symptoms..M3.,FALSE,FALSE,Categorical,Categorical
Motor.skills.delay,FALSE,FALSE,FALSE,FALSE
Motrin,FALSE,FALSE,FALSE,FALSE
Multivitamin,FALSE,TRUE,Categorical,Categorical
N.acetyl.cysteine.supplement,FALSE,TRUE,FALSE,FALSE
Naltrexone,FALSE,FALSE,FALSE,FALSE
Natural.father.current.age..months.,FALSE,FALSE,Continuous,Continuous
Natural.mother.current.age..months.,FALSE,FALSE,Continuous,Continuous
Natural.sibling.included.in.present.study,FALSE,FALSE,FALSE,FALSE
NCBI.taxID,FALSE,FALSE,FALSE,FALSE
Neem.supplement,FALSE,TRUE,FALSE,FALSE
NeuralBalance,FALSE,FALSE,FALSE,FALSE
Neurofibromatosis.type.1,FALSE,FALSE,FALSE,FALSE
Non.celiac.gluten.sensitivity,FALSE,FALSE,Categorical,Categorical
Norovirus,FALSE,FALSE,FALSE,FALSE
Number.of.pet.birds,FALSE,FALSE,Continuous,Continuous
Number.of.pet.cats,FALSE,FALSE,Continuous,Continuous
Number.of.pet.dogs,FALSE,FALSE,Continuous,Continuous
Number.of.pet.fish,FALSE,FALSE,Continuous,Continuous
Number.of.pet.horses,FALSE,FALSE,Continuous,Continuous
Number.of.pet.reptiles,FALSE,FALSE,Continuous,Continuous
Number.of.roommates,FALSE,FALSE,Continuous,Continuous
Number.of.small.pet.herbivores,FALSE,FALSE,FALSE,FALSE
Number.of.small.pet.rodents,FALSE,FALSE,FALSE,FALSE
Nystagmus,FALSE,FALSE,FALSE,FALSE
Olive.leaf.extract.supplement,FALSE,TRUE,FALSE,FALSE
Olive.oil.used.in.cooking..M3.,FALSE,TRUE,Categorical,Categorical
Omega.3.oil.supplement,FALSE,TRUE,FALSE,FALSE
Onfi,FALSE,FALSE,FALSE,FALSE
Organism,FALSE,FALSE,FALSE,FALSE
Other.GI.symptoms..M3.,FALSE,FALSE,Categorical,Categorical
Other.stool.sample.collection.method.explained..M3.,FALSE,FALSE,FALSE,FALSE
Other.symptoms.this.week..M3.,FALSE,FALSE,Categorical,Categorical
Otitis.media,FALSE,FALSE,FALSE,FALSE
Outdoors.pet,FALSE,FALSE,Categorical,Categorical
Outdoors.pets,FALSE,FALSE,Categorical,Categorical
Pediatric.acute.onset.neuropsychiatric.syndrome,FALSE,FALSE,FALSE,FALSE
Pediatric.autoimmune.neuropsychiatric.disorder.sssociated.with.streptococcal.infections,FALSE,FALSE,FALSE,FALSE
Period.of.life,FALSE,FALSE,FALSE,FALSE
Pet.bird,FALSE,FALSE,Categorical,Categorical
Pet.cat,FALSE,FALSE,Categorical,Categorical
Pet.dog,FALSE,FALSE,Categorical,Categorical
Pet.fish,FALSE,FALSE,Categorical,Categorical
Pet.horse,FALSE,FALSE,Categorical,Categorical
Pet.reptile,FALSE,FALSE,Categorical,Categorical
Pets.in.home,FALSE,FALSE,Categorical,Categorical
phenotype,FALSE,FALSE,FALSE,FALSE
Phosphatidyl.choline.supplement,FALSE,TRUE,FALSE,FALSE
Phosphatidyl.serine.supplement,FALSE,TRUE,FALSE,FALSE
Pica.disease,FALSE,FALSE,Categorical,FALSE
Picks.up.objects.to.show.to.others,FALSE,FALSE,Categorical,FALSE
Plays.imaginatively.when.alone,FALSE,FALSE,Categorical,FALSE
Plays.imaginatively.with.others,FALSE,FALSE,Categorical,FALSE
Plays.in.a.group.with.others,FALSE,FALSE,Categorical,FALSE
Powdered.greens.supplement,FALSE,TRUE,FALSE,FALSE
Prebiotic.supplement..unspecified.,FALSE,TRUE,FALSE,FALSE
Primary.immunodeficiency.disease,FALSE,FALSE,FALSE,FALSE
Probiotic..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Probiotic.agent,FALSE,TRUE,FALSE,FALSE
Problems.collecting.stool.sample..M3.,FALSE,FALSE,Categorical,Categorical
Protopic,FALSE,FALSE,FALSE,FALSE
Prozac,FALSE,FALSE,FALSE,FALSE
Pyrroloquinoline.quinone.supplement,FALSE,TRUE,FALSE,FALSE
QNASL,FALSE,FALSE,FALSE,FALSE
Quillivant,FALSE,FALSE,FALSE,FALSE
Qvar,FALSE,FALSE,FALSE,FALSE
Racial.group,TRUE,FALSE,Categorical,Categorical
Rash..symptom.,FALSE,FALSE,FALSE,FALSE
Reactive.airway.disease,FALSE,FALSE,FALSE,FALSE
Ready.to.eat.meals..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Recent.anxiety..caretaker.reported.,FALSE,FALSE,Categorical,Categorical
Recently.ill,FALSE,FALSE,Categorical,Categorical
Red.eye..symptom.,FALSE,FALSE,FALSE,FALSE
Red.meat..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Reduced.appetite,FALSE,FALSE,FALSE,FALSE
Repetitive.motion,FALSE,FALSE,Categorical,FALSE
Response.to.typical.sounds,FALSE,FALSE,Categorical,FALSE
Restaurant.prepared.meals..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Restore.Magic.Dirt.Water.supplement,FALSE,TRUE,FALSE,FALSE
Rhinorrhea,FALSE,FALSE,FALSE,FALSE
S.acetyl.l.glutathione.supplement,FALSE,TRUE,FALSE,FALSE
Saccharomyces.boulardii.supplement,FALSE,TRUE,FALSE,FALSE
SCN2A.locus.genotype,FALSE,FALSE,FALSE,FALSE
Seafood..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Selective.mutism,FALSE,FALSE,FALSE,FALSE
Selenium.supplement,FALSE,TRUE,FALSE,FALSE
Self.injurious.behavior.finding,FALSE,FALSE,Categorical,FALSE
Sensorineural.hearing.loss,FALSE,FALSE,FALSE,FALSE
Sensory.processing.disorder,FALSE,FALSE,FALSE,FALSE
Sequencing.run.ID..OmicsFileSet._collapsed,FALSE,FALSE,FALSE,FALSE
SG.Project.ID,FALSE,FALSE,FALSE,FALSE
Shares.bed.with.pet,FALSE,FALSE,Categorical,Categorical
Sleep.pattern.finding,FALSE,FALSE,Categorical,FALSE
Small.pet.herbivore,FALSE,FALSE,FALSE,FALSE
Small.pet.rodent,FALSE,FALSE,Categorical,Categorical
SMARCE1.locus.genotype,FALSE,FALSE,FALSE,FALSE
Sneezing,FALSE,FALSE,FALSE,FALSE
Snifflex.supplement,FALSE,TRUE,FALSE,FALSE
Sore.gums.teething,FALSE,FALSE,FALSE,FALSE
Source.of.drinking.water,FALSE,FALSE,Categorical,Categorical
Specific.drug.allergy,FALSE,FALSE,FALSE,FALSE
Specific.food.allergy,FALSE,FALSE,Categorical,Categorical
Specific.vaccination.received,FALSE,FALSE,FALSE,FALSE
Specimen.preservation.method,FALSE,FALSE,FALSE,FALSE
Specimen.status.upon.receipt,FALSE,FALSE,FALSE,FALSE
Speech.delay,FALSE,FALSE,FALSE,FALSE
Speech.disorder,FALSE,FALSE,FALSE,FALSE
Starchy.food..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Stool.frequency,FALSE,FALSE,Categorical,Categorical
Stool.sample.challenges.explained..M3.,FALSE,FALSE,Categorical,Categorical
Stool.sample.collection.method..M3.,FALSE,FALSE,Categorical,Categorical
Streptococcal.pharyngitis,FALSE,FALSE,FALSE,FALSE
Sugary.food..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Sulforaphane.supplement,FALSE,TRUE,FALSE,FALSE
Sweetened.drink..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Symbicort,FALSE,FALSE,FALSE,FALSE
Taurine,FALSE,TRUE,FALSE,FALSE
Tenex,FALSE,FALSE,FALSE,FALSE
Time.of.sampling,FALSE,FALSE,FALSE,FALSE
Toilet.cover..M3.,FALSE,FALSE,Categorical,Categorical
Toilet.trained,FALSE,FALSE,Categorical,Categorical
Topical.steroid,FALSE,FALSE,FALSE,FALSE
Topiramate,FALSE,FALSE,FALSE,FALSE
Trace.mineral.supplement,FALSE,TRUE,FALSE,FALSE
Travel.outside.US..notes.,FALSE,FALSE,FALSE,FALSE
Travel.to.country,FALSE,FALSE,Categorical,Categorical
Trazodone,FALSE,FALSE,FALSE,FALSE
TriEnza,FALSE,FALSE,FALSE,FALSE
Trimethylglycine.supplement,FALSE,TRUE,FALSE,FALSE
Triphala.supplement,FALSE,TRUE,FALSE,FALSE
Tuberous.sclerosis,FALSE,FALSE,FALSE,FALSE
Turmeric.supplement,FALSE,TRUE,FALSE,FALSE
Tylenol,FALSE,FALSE,FALSE,FALSE
Ubiquinol.supplement,FALSE,TRUE,FALSE,FALSE
Understands.speech,FALSE,FALSE,Categorical,FALSE
Unspecified.herbal.supplement,FALSE,TRUE,FALSE,FALSE
Valium,FALSE,FALSE,FALSE,FALSE
Valtrex,FALSE,FALSE,FALSE,FALSE
Vegetable..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Vegetable..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Vitamin.A,FALSE,TRUE,FALSE,FALSE
Vitamin.B.complex.supplement,FALSE,TRUE,FALSE,FALSE
Vitamin.B.complex.supplement..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Vitamin.B12,FALSE,TRUE,FALSE,FALSE
Vitamin.B6,FALSE,TRUE,FALSE,FALSE
Vitamin.D,FALSE,TRUE,FALSE,FALSE
Vitamin.D..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Vitamin.E,FALSE,TRUE,FALSE,FALSE
Vitamin.K,FALSE,TRUE,FALSE,FALSE
Vitamin.K2,FALSE,TRUE,FALSE,FALSE
Whole.grain..consumption.frequency.,FALSE,TRUE,Categorical,Categorical
Within.study.sampling.date,FALSE,FALSE,Categorical,Categorical
X5.Hydroxytryptophan,FALSE,TRUE,FALSE,FALSE
Zinc.supplement,FALSE,TRUE,FALSE,FALSE
Zithromax,FALSE,FALSE,FALSE,FALSE
Zoloft,FALSE,FALSE,FALSE,FALSE
Zyrtec,FALSE,FALSE,FALSE,FALSE
Zytec,FALSE,FALSE,FALSE,FALSE
